Sample,Payload [Bytes],Latency [us]
842,16,15.4943
843,16,8.91835
844,16,8.88185
845,16,8.94135
846,16,8.81935
847,16,8.84335
848,16,8.80935
849,16,8.81985
850,16,8.85635
851,16,8.81385
852,16,8.82085
853,16,8.84435
854,16,8.85385
855,16,8.85685
856,16,8.83735
857,16,8.81435
858,16,8.86835
859,16,16.9098
860,16,13.7333
861,16,13.6063
862,16,13.5088
863,16,13.5373
864,16,13.4588
865,16,13.6838
866,16,13.6293
867,16,13.6348
868,16,13.4533
869,16,13.5898
870,16,13.5208
871,16,13.6388
872,16,13.4573
873,16,13.5453
874,16,13.4403
875,16,13.5888
876,16,13.5058
877,16,13.5748
878,16,13.4793
879,16,13.5273
880,16,13.4898
881,16,13.5968
882,16,13.4998
883,16,13.5583
884,16,13.1608
885,16,9.12235
886,16,8.89885
887,16,8.85485
888,16,8.74535
889,16,8.83085
890,16,8.84085
891,16,8.81085
892,16,8.86685
893,16,8.85935
894,16,8.81435
895,16,8.76185
896,16,8.84635
897,16,8.80685
898,16,8.77585
899,16,8.78235
900,16,8.76985
901,16,8.73935
902,16,8.77935
903,16,8.75985
904,16,8.76635
905,16,8.83335
906,16,8.85135
907,16,8.78985
908,16,8.79635
909,16,8.75585
910,16,8.78785
911,16,8.79135
912,16,8.81935
913,16,8.95135
914,16,8.93535
915,16,8.82785
916,16,8.81085
917,16,8.86485
918,16,8.86135
919,16,8.78335
920,16,8.79735
921,16,8.72585
922,16,8.68135
923,16,8.71185
924,16,8.69785
925,16,8.68785
926,16,8.69935
927,16,8.69585
928,16,8.69135
929,16,8.74335
930,16,8.76785
931,16,8.70585
932,16,8.68135
933,16,13.3428
934,16,13.6848
935,16,13.5483
936,16,13.4268
937,16,13.5668
938,16,13.4763
939,16,13.5503
940,16,13.5403
941,16,13.5963
942,16,13.5543
943,16,13.5898
944,16,13.5393
945,16,13.6458
946,16,13.5123
947,16,13.5398
948,16,13.4478
949,16,13.5723
950,16,13.5303
951,16,13.5173
952,16,13.4958
953,16,13.7243
954,16,13.4213
955,16,13.2203
956,16,8.99335
957,16,8.80685
958,16,8.76635
959,16,10.6253
960,16,9.22185
961,16,8.97235
962,16,8.99235
963,16,8.96235
964,16,8.90885
965,16,8.90185
966,16,8.90335
967,16,9.05285
968,16,8.90435
969,16,8.93535
970,16,8.92985
971,16,8.95235
972,16,8.92835
973,16,9.01085
974,16,8.92385
975,16,8.93385
976,16,8.87585
977,16,8.93035
978,16,8.87735
979,16,8.91585
980,16,8.85585
981,16,8.99335
982,16,8.90235
983,16,8.94585
984,16,8.90985
985,16,8.91435
986,16,8.99535
987,16,8.94235
988,16,8.93335
989,16,9.00935
990,16,8.95985
991,16,8.94885
992,16,8.91785
993,16,8.90735
994,16,8.91385
995,16,9.00735
996,16,8.95735
997,16,8.94735
998,16,8.95285
999,16,9.18435
1000,16,8.97385
1001,16,8.96035
1002,16,8.92285
1003,16,16.0513
1004,16,14.1248
1005,16,13.9533
1006,16,13.8643
1007,16,13.9968
1008,16,13.8208
1009,16,14.0223
1010,16,13.8733
1011,16,13.9528
1012,16,13.8543
1013,16,13.9263
1014,16,13.7998
1015,16,13.9043
1016,16,13.7718
1017,16,13.8853
1018,16,13.7613
